SchoolName,URL,Sector,Year_Range,Type,Address,Suburb,State,Postcode,Latitude,Longitude,Score
Box Hill Senior Secondary College,http://www.bhssc.vic.edu.au,Government,6-12,Combined,DUNLOE AVENUE,MONT ALBERT NORTH,VIC,3129,-37.81006,145.1126515,86
Alkira Secondary College,http://www.alkirasecondarycollege.com.au,Government,7-11,Secondary,15 NURTURE AVENUE,CRANBOURNE NORTH,VIC,3977,-38.07427,145.308734,82
Lilydale High School,http://www.lilydale.hs.vic.edu.au,Government,7-12,Secondary,25 MELBA AVENUE,LILYDALE,VIC,3140,-37.759875,145.345287,74
Lilydale Heights College,http://www.lilydaleheights.vic.edu.au,Government,7-12,Secondary,17 NELSON ROAD,LILYDALE,VIC,3140,-37.744827,145.340347,67
Mooroolbark College,http://www.mooroolbarkcollege.vic.edu.au,Government,7-12,Secondary,186 MANCHESTER ROAD,MOOROOLBARK,VIC,3138,-37.774216,145.315576,69
Norwood Secondary College,http://www.norwood.vic.edu.au,Government,7-12,Secondary,BYRON STREET,RINGWOOD,VIC,3134,-37.7991053,145.2383335,80
Bayswater Secondary College,http://www.bayswatersc.vic.edu.au,Government,7-12,Secondary,14 ORCHARD ROAD,BAYSWATER,VIC,3153,-37.837638,145.261919,65
Ringwood Secondary College,http://www.ringwoodsc.vic.edu.au,Government,7-12,Secondary,BEDFORD ROAD,RINGWOOD,VIC,3134,-37.816666,145.239151,85
Monbulk College,http://www.monbulkcol.vic.edu.au,Government,7-12,Secondary,146-148 DAVID HILL ROAD,MONBULK,VIC,3793,-37.884216,145.427364,80
Heathmont College,http://www.heathmont.vic.edu.au,Government,7-12,Secondary,WATERS GROVE,HEATHMONT,VIC,3135,-37.8376447,145.2317901,80
Warrandyte High School,http://www.warrandytehigh.vic.edu.au,Government,7-12,Secondary,241-247 HEIDELBERG-WARRANDYTE RD,WARRANDYTE,VIC,3113,-37.746699,145.184969,79
Fairhills High School,http://www.fairhillshs.vic.edu.au,Government,7-12,Secondary,SCORESBY ROAD,KNOXFIELD,VIC,3180,-37.8727114,145.2579851,68
Wantirna College,http://web.wantirnacollege.vic.edu.au,Government,7-12,Secondary,HAROLD STREET,WANTIRNA,VIC,3152,-37.8563889,145.2308333,84
Upwey High School,http://www.upweyhs.vic.edu.au,Government,7-12,Secondary,1451 BURWOOD HIGHWAY,UPWEY,VIC,3158,-37.902929,145.334717,79
Mullauna Secondary College,http://www.mullauna.vic.edu.au,Government,7-12,Secondary,456 SPRINGFIELD ROAD,MITCHAM,VIC,3132,-37.80822,145.190646,81
Vermont Secondary College,http://www.vermontsc.vic.edu.au,Government,7-12,Secondary,27 - 63 MORACK ROAD,VERMONT,VIC,3133,-37.843486,145.20095,92
Healesville High School,http://www.healesvillehs.vic.edu.au,Government,7-12,Secondary,10 CAMERONS ROAD,HEALESVILLE,VIC,3777,-37.644052,145.53212,66
Scoresby Secondary College,http://www.scoresbysc.vic.edu.au,Government,7-12,Secondary,CAVELL STREET,SCORESBY,VIC,3179,-37.888973,145.237474,72
East Doncaster Secondary College,http://www.eastdonsc.vic.edu.au,Government,7-12,Secondary,20 GEORGE STREET,DONCASTER EAST,VIC,3109,-37.783336,145.158448,93
Emerald Secondary College,http://www.emeraldsc.vic.edu.au,Government,7-12,Secondary,425 BELGRAVE-GEMBROOK RD,EMERALD,VIC,3782,-37.92276,145.459165,68
Diamond Valley College,http://www.dvallcoll.vic.edu.au,Government,7-12,Secondary,165-179 MAIN HURSTBRIDGE ROAD,DIAMOND CREEK,VIC,3089,-37.672162,145.166927,77
Eltham High School,http://www.elthamhs.vic.edu.au,Government,7-12,Secondary,30-60 WITHERS WAY,ELTHAM,VIC,3095,-37.725178,145.14165,85
Blackburn High School,http://www.blackburnhs.vic.edu.au,Government,7-12,Secondary,60 SPRINGFIELD ROAD,BLACKBURN,VIC,3130,-37.811588,145.149654,88
Doncaster Secondary College,http://www.doncastersc.vic.edu.au,Government,7-12,Secondary,123 CHURCH ROAD,DONCASTER,VIC,3108,-37.783796,145.137311,91
Forest Hill College,http://www.fhc.vic.edu.au,Government,7-12,Secondary,178-180 MAHONEYS ROAD,BURWOOD EAST,VIC,3151,-37.84784,145.16174,74
Highvale Secondary College,http://www.highvalesc.vic.edu.au,Government,7-12,Secondary,CAPITAL AVENUE,GLEN WAVERLEY,VIC,3150,-37.8665373,145.1755254,93
St Helena Secondary College,http://www.sthelena.vic.edu.au,Government,7-12,Secondary,WALLOWA ROAD,ELTHAM NORTH,VIC,3095,-37.6876197,145.1397257,83
Box Hill High School,http://www.boxhillhs.vic.edu.au,Government,7-12,Secondary,1180 WHITEHORSE ROAD,BOX HILL,VIC,3128,-37.821421,145.137314,98
Rowville Secondary College,http://www.rowvillesc.vic.edu.au,Government,7-12,Secondary,17 PARATEA DRIVE,ROWVILLE,VIC,3178,-37.923697,145.238031,74
Upper Yarra Secondary College,http://www.uysc.vic.edu.au,Government,7-12,Secondary,81-89 LITTLE YARRA ROAD,YARRA JUNCTION,VIC,3797,-37.791196,145.624827,66
Glen Waverley Secondary College,http://www.gwsc.vic.edu.au,Government,7-12,Secondary,13-21 O'SULLIVAN ROAD,GLEN WAVERLEY,VIC,3150,-37.877054,145.162512,98
Koonung Secondary College,http://www.koonung.vic.edu.au,Government,7-12,Secondary,615 ELGAR ROAD,MONT ALBERT NORTH,VIC,3129,-37.802632,145.116998,91
Montmorency Secondary College,http://www.montysc.vic.edu.au,Government,7-12,Secondary,PARA ROAD,MONTMORENCY,VIC,3094,-37.713108,145.112293,83
Brentwood Secondary College,http://www.brentwood.vic.edu.au,Government,7-12,Secondary,65-71 WATSONS ROAD,GLEN WAVERLEY,VIC,3150,-37.898387,145.167113,94
Wheelers Hill Secondary College,http://www.whsc.vic.edu.au,Government,7-12,Secondary,RAPHAEL DRIVE,WHEELERS HILL,VIC,3150,-37.9106986,145.1812188,80
Greensborough Secondary College,http://www.greensc.vic.edu.au,Government,7-12,Secondary,NELL STREET,GREENSBOROUGH,VIC,3088,-37.7090223,145.0982496,68
Mount Waverley Secondary College,http://www.mwsc.vic.edu.au,Government,7-12,Secondary,9 LECHTE ROAD,MOUNT WAVERLEY,VIC,3149,-37.868578,145.130762,94
Viewbank College,http://viewbank.vic.edu.au,Government,7-12,Secondary,WARREN ROAD,ROSANNA,VIC,3084,-37.741366,145.0858657,93
Balwyn High School,http://www.balwynhs.vic.edu.au,Government,7-12,Secondary,BUCHANAN AVENUE,BALWYN NORTH,VIC,3104,-37.7975538,145.0758539,97
Wellington Secondary College,http://www.wellingtonsc.vic.edu.au,Government,7-12,Secondary,91 POLICE ROAD,MULGRAVE,VIC,3170,-37.933337,145.169529,92
Lyndale Secondary College,http://www.lyndale.vic.edu.au,Government,7-12,Secondary,170-174 GLADSTONE ROAD,DANDENONG NORTH,VIC,3175,-37.957394,145.204974,73
Victorian College Of The Arts Secondary School,http://www.vcass.vic.edu.au,Government,7-12,Secondary,57 MILES STREET,SOUTHBANK,VIC,3006,-37.828511,144.96492,97
Elwood College,http://www.elwood.vic.edu.au,Government,7-12,Secondary,101 GLENHUNTLY ROAD,ELWOOD,VIC,3184,-37.881847,144.985377,86
Camberwell High School,http://www.camhigh.vic.edu.au,Government,7-12,Secondary,PROSPECT HILL ROAD,CANTERBURY,VIC,3126,-37.8307451,145.0726778,89
Canterbury Girls Secondary College,http://www.cgsc.vic.edu.au,Government,7-12,Secondary,16 MANGARRA ROAD,CANTERBURY,VIC,3126,-37.82026,145.069816,93
Kew High School,http://www.kew.vic.edu.au,Government,7-12,Secondary,1393 BURKE ROAD,KEW EAST,VIC,3102,-37.795587,145.062435,91
Fitzroy High School,http://www.fitzroyhs.vic.edu.au,Government,7-12,Secondary,FALCONER STREET,FITZROY NORTH,VIC,3068,-37.7852568,144.9878368,78
University High School,http://www.unihigh.vic.edu.au,Government,7-12,Secondary,77 STORY STREET,PARKVILLE,VIC,3052,-37.797466,144.956066,98
Mckinnon Secondary College,http://www.mckinnonsc.vic.edu.au,Government,7-12,Secondary,291A MCKINNON ROAD,MCKINNON,VIC,3204,-37.910861,145.04879,96
Princes Hill Secondary College,http://www.phsc.vic.edu.au,Government,7-12,Secondary,ARNOLD STREET,PRINCES HILL,VIC,3054,-37.7833223,144.9648036,93
Brighton Secondary College,http://www.brightonsc.vic.edu.au,Government,7-12,Secondary,120 MARRIAGE ROAD,BRIGHTON EAST,VIC,3187,-37.921092,145.018504,92
Northcote High School,http://www.nhs.vic.edu.au,Government,7-12,Secondary,ST GEORGES ROAD,NORTHCOTE,VIC,3070,-37.76956854,144.990973,93
Mount Eliza Secondary College,http://www.mesc.vic.edu.au,Government,7-12,Secondary,204 CANADIAN BAY ROAD,MOUNT ELIZA,VIC,3930,-38.190191,145.092142,83
